source,sentence,cause_start,cause_end,effect_start,effect_end
MedCaus," If the appendix has ruptured and a tumor is present , this presents challenges , especially if malignant cells have formed and thus spread to the abdomen .",96.0,123.0,133.0,154.0
MedCaus, In the last 20 years however many systems have been developed to study C. albicans in a more in depth genetic level .,66.0,116.0,1.0,42.0
MedCaus, Neutropenia that is developed in response to chemotherapy typically becomes evident in seven to fourteen days after treatment .,46.0,58.0,1.0,12.0
MedCaus," In modern candles , the wick is constructed so that it curves over as it burns . ''",19.0,32.0,48.0,73.0
MedCaus," While no correlation between race and the level of neuromelanin in the substantia nigra has been reported , the significantly lower incidence of Parkinson 's in blacks than in whites has '' '' prompt -LSB- ed -RSB- some to suggest that cutaneous melanin might somehow serve to protect the neuromelanin in substantia nigra from external toxins . ''",107.0,176.0,207.0,327.0
MedCaus," Cancer can develop in any part of the larynx , but the cure rate is affected by the location of the tumour . ''",78.0,100.0,48.0,60.0
MedCaus," Attempts by some of the Greek city - states of Asia Minor to overthrow Persian rule failed , and Persia invaded the states of mainland Greece in 492 BC , but was forced to withdraw after a defeat at the Battle of Marathon in 490 BC .",188.0,232.0,159.0,181.0
MedCaus," Unlike bisphosphonates , statins do not bind to bone surfaces with high affinity , and thus are not specific for bone . ''",24.0,72.0,88.0,113.0
MedCaus," In binding , oxygen temporarily and reversibly oxidizes -LRB- Fe2 + -RRB- to -LRB- Fe3 + -RRB- while oxygen temporarily turns into the superoxide ion , thus iron must exist in the + 2 oxidation state to bind oxygen . ''",90.0,146.0,153.0,208.0
MedCaus," Vitamin C aids in the body 's ability to absorb iron , so taking oral iron supplements with orange juice is of benefit . ''",1.0,30.0,39.0,48.0
MedCaus," Variations are common , and mouthwash has no standard formulation so its use and recommendation involves concerns about patient safety .",29.0,66.0,70.0,135.0
MedCaus," Unlike ordinary black - and - white plates , the Autochrome was loaded into the camera with the bare glass side facing the lens so that the light passed through the mosaic filter layer before reaching the emulsion . ''",44.0,123.0,132.0,205.0
MedCaus, Correct technique involves the buildup of torque so that maximum force can be applied to the discus on delivery .,1.0,49.0,58.0,112.0
MedCaus," As well , the data addressing modes have been expanded to allow up to 16 MB of data memory to be directly addressed .",59.0,116.0,11.0,55.0
MedCaus," One of the theories of the essay is that laughter , as a collective activity , has a social and moral role , in forcing people to eliminate their vices . ''",1.0,120.0,128.0,146.0
MedCaus," A 1986 paper reported that the species Pleurotus pubescens , first described by American mycologist Charles Horton Peck in 1891 , was the same as Rhodotus palmatus , making their names synonymous .",131.0,164.0,174.0,196.0
MedCaus," Bleaches generally react with many other organic substances besides the intended colored pigments , so they can weaken or damage natural materials like fibers , cloth , and leather , and intentionally applied dyes such as the indigo of denim . ''",1.0,89.0,182.0,236.0
MedCaus," Some feared that if they moved onto reservations , they would be forced to move to Oklahoma . ''",1.0,36.0,50.0,83.0
MedCaus, Schools in bad neighborhoods where youth violence is prevalent should assign counselors to each student so that they receive regular guidance .,1.0,104.0,113.0,142.0
MedCaus," A craniectomy may take place , where part of the skull is removed to allow a swelling brain room to expand without being squeezed . ''",1.0,58.0,70.0,121.0
MedCaus," As more detailed knowledge of biology and biochemistry developed , the colloidal theory was replaced by the macromolecular theory , which explains enzymes as a collection of identical huge molecules that act as very tiny machines , freely moving about between the water molecules of the solution and individually operating on the substrate , no more mysterious than a factory full of machinery . ''",1.0,55.0,66.0,123.0
MedCaus," Later , the composition of the Meissen hard paste was changed and the alabaster was replaced by feldspar and quartz , allowing the pieces to be fired at lower temperatures . ''",7.0,109.0,119.0,159.0
MedCaus," Trains have a small frontal area in relation to the load they are carrying , which reduces air resistance and thus energy usage . ''",78.0,95.0,111.0,122.0
